chr,chr_num,start,end,strand,gene_name,order,gene_symbol,gene_class
chr1,1,11869,14412,+,ENSG00000223972,2_ensembl,DDX11L1,noncoding_pseudogene
chr1,1,14363,29806,-,ENSG00000227232,2_ensembl,WASH7P,noncoding_pseudogene
chr1,1,29554,31109,+,ENSG00000243485,2_ensembl,MIR1302-10,noncoding_lncRNA_lincRNA
chr1,1,34554,36081,-,ENSG00000237613,2_ensembl,FAM138A,noncoding_lncRNA_lincRNA
chr1,1,52473,54936,+,ENSG00000268020,2_ensembl,OR4G4P,noncoding_pseudogene
chr1,1,62948,63887,+,ENSG00000240361,2_ensembl,OR4G11P,noncoding_pseudogene
chr1,1,69091,70008,+,ENSG00000186092,2_ensembl,OR4F5,protein_coding
chr1,1,89295,133566,-,ENSG00000238009,2_ensembl,RP11-34P13.7,noncoding_lncRNA_lincRNA
chr1,1,89551,91105,-,ENSG00000239945,2_ensembl,RP11-34P13.8,noncoding_lncRNA_lincRNA
chr1,1,91421,762886,-,ENSG00000225880,1_FANTOM,LINC00115,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,131025,134836,+,ENSG00000233750,2_ensembl,CICP27,noncoding_pseudogene
chr1,1,134901,139379,-,ENSG00000237683,2_ensembl,AL627309.1,protein_coding
chr1,1,135141,135895,-,ENSG00000268903,2_ensembl,RP11-34P13.15,noncoding_pseudogene
chr1,1,137682,137965,-,ENSG00000269981,2_ensembl,RP11-34P13.16,noncoding_pseudogene
chr1,1,139790,140339,-,ENSG00000239906,2_ensembl,RP11-34P13.14,noncoding_antisense
chr1,1,157784,157887,-,ENSG00000222623,2_ensembl,RNU6-1100P,noncoding_snRNA
chr1,1,160446,161525,+,ENSG00000241599,2_ensembl,RP11-34P13.9,noncoding_lncRNA_lincRNA
chr1,1,227615,267253,-,ENSG00000228463,2_ensembl,AP006222.2,noncoding_lncRNA_lincRNA
chr1,1,228292,228775,-,ENSG00000241670,2_ensembl,AP006222.1,noncoding_pseudogene
chr1,1,317720,453948,+,ENSG00000237094,2_ensembl,RP4-669L17.10,noncoding_lncRNA_lincRNA
chr1,1,326096,328112,+,ENSG00000250575,2_ensembl,RP4-669L17.8,noncoding_pseudogene
chr1,1,329431,332236,-,ENSG00000233653,2_ensembl,CICP7,noncoding_pseudogene
chr1,1,334126,334305,+,ENSG00000224813,2_ensembl,RP4-669L17.4,noncoding_pseudogene
chr1,1,367640,368634,+,ENSG00000235249,2_ensembl,OR4F29,protein_coding
chr1,1,379105,379467,-,ENSG00000269732,2_ensembl,WBP1LP7,noncoding_pseudogene
chr1,1,450820,450910,-,ENSG00000256186,2_ensembl,AL732372.1,noncoding_pseudogene
chr1,1,453633,460480,-,ENSG00000236601,2_ensembl,RP4-669L17.2,noncoding_lncRNA_lincRNA
chr1,1,459656,461954,+,ENSG00000236743,2_ensembl,RP5-857K21.15,noncoding_lncRNA_lincRNA
chr1,1,470971,471355,+,ENSG00000236679,2_ensembl,RP4-669L17.1,noncoding_pseudogene
chr1,1,521369,523833,-,ENSG00000231709,2_ensembl,RP5-857K21.1,noncoding_lncRNA_lincRNA
chr1,1,523009,530148,+,ENSG00000235146,2_ensembl,RP5-857K21.2,noncoding_lncRNA_lincRNA
chr1,1,523500,569943,-,CATG00000042732,1_FANTOM,CATG00000042732.1,noncoding_lncRNA_divergent
chr1,1,529833,532878,-,ENSG00000239664,2_ensembl,RP5-857K21.3,noncoding_lncRNA_lincRNA
chr1,1,536816,659930,-,ENSG00000230021,2_ensembl,RP5-857K21.4,noncoding_lncRNA_lincRNA
chr1,1,562757,564475,-,ENSG00000223659,1_FANTOM,RP5-857K21.5,noncoding_lncRNA_divergent
chr1,1,564463,569756,+,ENSG00000248527,1_FANTOM,MTATP6P1,noncoding_pseudogene
chr1,1,564589,567123,+,ENSG00000225972,1_FANTOM,MTND1P23,noncoding_pseudogene
chr1,1,565381,566063,+,ENSG00000225630,1_FANTOM,MTND2P28,noncoding_pseudogene
chr1,1,566573,570306,+,ENSG00000198744,1_FANTOM,RP5-857K21.11,noncoding_pseudogene
chr1,1,566761,567996,+,ENSG00000237973,1_FANTOM,hsa-mir-6723,noncoding_pseudogene
chr1,1,567299,567595,-,CATG00000042733,1_FANTOM,CATG00000042733.1,noncoding_lncRNA_divergent
chr1,1,568194,568818,+,ENSG00000229344,1_FANTOM,RP5-857K21.7,noncoding_pseudogene
chr1,1,568915,569121,+,ENSG00000240409,1_FANTOM,MTATP8P1,noncoding_pseudogene
chr1,1,610222,610645,+,ENSG00000268663,2_ensembl,WBP1LP6,noncoding_pseudogene
chr1,1,621059,622053,-,ENSG00000185097,2_ensembl,OR4F16,protein_coding
chr1,1,657472,660283,+,ENSG00000229376,2_ensembl,CICP3,noncoding_pseudogene
chr1,1,661611,663527,-,ENSG00000224956,2_ensembl,RP11-206L10.1,noncoding_pseudogene
chr1,1,676386,762886,-,ENSG00000228327,1_FANTOM,RP11-206L10.2,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,677193,685396,-,ENSG00000235373,2_ensembl,RP11-206L10.3,noncoding_lncRNA_lincRNA
chr1,1,693613,693716,-,ENSG00000223181,2_ensembl,RNU6-1199P,noncoding_snRNA
chr1,1,694412,700305,-,ENSG00000240618,2_ensembl,RP11-206L10.5,noncoding_lncRNA_lincRNA
chr1,1,696291,697369,+,ENSG00000229905,2_ensembl,RP11-206L10.4,noncoding_antisense
chr1,1,714172,740255,+,ENSG00000237491,1_FANTOM,RP11-206L10.9,noncoding_lncRNA_intergenic
chr1,1,736259,745541,-,ENSG00000230092,2_ensembl,RP11-206L10.8,noncoding_pseudogene
chr1,1,738532,739137,-,ENSG00000269831,2_ensembl,AL669831.1,protein_coding
chr1,1,753349,755214,+,ENSG00000177757,1_FANTOM,FAM87B,noncoding_lncRNA_intergenic
chr1,1,762215,809715,+,ENSG00000228794,1_FANTOM,RP11-206L10.11,noncoding_lncRNA_intergenic
chr1,1,803451,812283,-,ENSG00000230368,2_ensembl,FAM41C,noncoding_lncRNA_lincRNA
chr1,1,808672,809729,+,ENSG00000234711,2_ensembl,TUBB8P11,noncoding_pseudogene
chr1,1,817585,819983,+,ENSG00000269308,1_FANTOM,AL645608.2,protein_coding
chr1,1,829517,840091,-,CATG00000042782,1_FANTOM,CATG00000042782.1,noncoding_lncRNA_intergenic
chr1,1,840193,852249,+,ENSG00000272438,1_FANTOM,RP11-54O7.16,noncoding_lncRNA_intergenic
chr1,1,845735,864616,-,ENSG00000223764,1_FANTOM,RP11-54O7.3,noncoding_lncRNA_divergent
chr1,1,846821,850328,+,ENSG00000230699,1_FANTOM,RP11-54O7.1,noncoding_sense_overlap_RNA
chr1,1,849551,850351,+,ENSG00000241180,2_ensembl,RP11-54O7.2,noncoding_lncRNA_lincRNA
chr1,1,859303,884354,+,ENSG00000187634,1_FANTOM,SAMD11,protein_coding
chr1,1,861264,866445,-,ENSG00000268179,2_ensembl,AL645608.1,protein_coding
chr1,1,877263,896186,-,ENSG00000188976,1_FANTOM,NOC2L,protein_coding
chr1,1,896013,901564,+,ENSG00000187961,1_FANTOM,KLHL17,protein_coding
chr1,1,901884,911261,+,ENSG00000187583,1_FANTOM,PLEKHN1,protein_coding
chr1,1,902149,902358,-,CATG00000042837,1_FANTOM,CATG00000042837.1,noncoding_lncRNA_divergent
chr1,1,909780,918453,-,ENSG00000187642,1_FANTOM,C1orf170,protein_coding
chr1,1,923909,924779,-,CATG00000042856,1_FANTOM,CATG00000042856.1,noncoding_lncRNA_intergenic
chr1,1,925719,937326,-,ENSG00000188290,1_FANTOM,HES4,protein_coding
chr1,1,930079,934391,-,ENSG00000272512,1_FANTOM,RP11-54O7.17,noncoding_lncRNA_divergent
chr1,1,934345,951282,+,ENSG00000187608,1_FANTOM,ISG15,protein_coding
chr1,1,943301,949448,-,ENSG00000224969,1_FANTOM,RP11-54O7.11,noncoding_lncRNA_divergent
chr1,1,943456,943609,-,ENSG00000231702,2_ensembl,RP11-54O7.10,noncoding_pseudogene
chr1,1,954930,991500,+,ENSG00000188157,1_FANTOM,AGRN,protein_coding
chr1,1,955511,955758,-,CATG00000042920,1_FANTOM,CATG00000042920.1,noncoding_lncRNA_divergent
chr1,1,984575,991491,-,CATG00000042982,1_FANTOM,CATG00000042982.1,protein_coding
chr1,1,990401,991496,+,ENSG00000242590,1_FANTOM,RP11-54O7.14,noncoding_sense_overlap_RNA
chr1,1,993833,1011045,+,ENSG00000217801,1_FANTOM,RP11-465B22.3,noncoding_pseudogene
chr1,1,995039,999630,-,ENSG00000273443,1_FANTOM,RP11-54O7.18,noncoding_lncRNA_divergent
chr1,1,1000615,1015652,-,ENSG00000237330,1_FANTOM,RNF223,protein_coding
chr1,1,1014892,1016097,+,CATG00000006163,1_FANTOM,CATG00000006163.1,noncoding_lncRNA_divergent
chr1,1,1017048,1051469,-,ENSG00000131591,1_FANTOM,C1orf159,protein_coding
chr1,1,1064013,1106357,+,ENSG00000272141,1_FANTOM,RP11-465B22.8,noncoding_lncRNA_intergenic
chr1,1,1064079,1079436,+,ENSG00000223823,1_FANTOM,RP11-465B22.5,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,1087776,1093667,-,CATG00000043113,1_FANTOM,CATG00000043113.1,protein_coding
chr1,1,1102484,1102578,+,ENSG00000207730,2_ensembl,MIR200B,noncoding_miRNA
chr1,1,1103243,1103332,+,ENSG00000207607,2_ensembl,MIR200A,noncoding_miRNA
chr1,1,1104385,1104467,+,ENSG00000198976,2_ensembl,MIR429,noncoding_miRNA
chr1,1,1108301,1114947,-,ENSG00000205231,1_FANTOM,TTLL10-AS1,noncoding_lncRNA_divergent
chr1,1,1109260,1136599,+,ENSG00000162571,1_FANTOM,TTLL10,protein_coding
chr1,1,1138725,1143547,-,ENSG00000186891,1_FANTOM,TNFRSF18,protein_coding
chr1,1,1138890,1142939,+,CATG00000019495,1_FANTOM,CATG00000019495.1,protein_coding
chr1,1,1146074,1149533,-,ENSG00000186827,1_FANTOM,TNFRSF4,protein_coding
chr1,1,1152140,1167447,-,ENSG00000078808,1_FANTOM,SDF4,protein_coding
chr1,1,1152314,1158844,+,CATG00000024166,1_FANTOM,CATG00000024166.1,protein_coding
chr1,1,1166265,1175447,+,ENSG00000176022,1_FANTOM,B3GALT6,protein_coding
chr1,1,1177826,1182106,-,ENSG00000184163,1_FANTOM,FAM132A,protein_coding
chr1,1,1184937,1209213,-,ENSG00000160087,1_FANTOM,UBE2J2,protein_coding
chr1,1,1185157,1186714,-,ENSG00000260179,2_ensembl,RP5-902P8.12,noncoding_lncRNA_lincRNA
chr1,1,1209416,1227429,+,ENSG00000162572,1_FANTOM,SCNN1D,protein_coding
chr1,1,1210603,1215800,+,ENSG00000230415,2_ensembl,RP5-902P8.10,noncoding_lncRNA_lincRNA
chr1,1,1227506,1244985,-,ENSG00000131584,1_FANTOM,ACAP3,protein_coding
chr1,1,1243515,1255114,+,ENSG00000169972,1_FANTOM,PUSL1,protein_coding
chr1,1,1245752,1260040,-,ENSG00000127054,1_FANTOM,CPSF3L,protein_coding
chr1,1,1252961,1254026,-,ENSG00000240731,1_FANTOM,RP5-890O3.9,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,1260182,1266114,+,ENSG00000224051,1_FANTOM,GLTPD1,protein_coding
chr1,1,1263963,1285331,-,ENSG00000107404,1_FANTOM,DVL1,protein_coding
chr1,1,1266660,1270686,+,ENSG00000169962,1_FANTOM,TAS1R3,protein_coding
chr1,1,1283983,1297864,+,CATG00000033020,1_FANTOM,CATG00000033020.1,protein_coding
chr1,1,1285153,1297507,-,ENSG00000162576,1_FANTOM,MXRA8,protein_coding
chr1,1,1301244,1303074,-,CATG00000043325,1_FANTOM,CATG00000043325.1,noncoding_lncRNA_intergenic
chr1,1,1309110,1311670,-,ENSG00000175756,1_FANTOM,AURKAIP1,protein_coding
chr1,1,1314046,1314412,+,ENSG00000223663,2_ensembl,RP5-890O3.3,noncoding_pseudogene
chr1,1,1318187,1334694,-,ENSG00000221978,1_FANTOM,CCNL2,protein_coding
chr1,1,1332292,1363244,-,ENSG00000235098,1_FANTOM,ANKRD65,protein_coding
chr1,1,1334932,1341204,+,ENSG00000224870,1_FANTOM,RP4-758J18.2,protein_coding
chr1,1,1337288,1342673,-,ENSG00000242485,1_FANTOM,MRPL20,protein_coding
chr1,1,1340841,1341224,-,ENSG00000264293,1_FANTOM,RN7SL657P,noncoding_sense_overlap_RNA
chr1,1,1341227,1341430,+,CATG00000040200,1_FANTOM,CATG00000040200.1,noncoding_lncRNA_noncoding_antisense
chr1,1,1342757,1346234,+,ENSG00000272455,1_FANTOM,RP4-758J18.13,noncoding_lncRNA_divergent
chr1,1,1355546,1362496,+,ENSG00000225905,1_FANTOM,RP4-758J18.7,noncoding_lncRNA_divergent
chr1,1,1358582,1366394,+,ENSG00000205116,1_FANTOM,TMEM88B,protein_coding
chr1,1,1363502,1370988,-,ENSG00000225285,1_FANTOM,RP4-758J18.10,noncoding_lncRNA_divergent
chr1,1,1363521,1382605,+,ENSG00000179403,1_FANTOM,VWA1,protein_coding
chr1,1,1365536,1470025,+,ENSG00000160072,1_FANTOM,ATAD3B,protein_coding
chr1,1,1384174,1404043,+,ENSG00000215915,1_FANTOM,ATAD3C,protein_coding
chr1,1,1405941,1447395,-,CATG00000043375,1_FANTOM,CATG00000043375.1,noncoding_lncRNA_divergent
chr1,1,1413229,1470435,+,ENSG00000197785,1_FANTOM,ATAD3A,protein_coding
chr1,1,1458690,1459296,-,CATG00000043384,1_FANTOM,CATG00000043384.1,protein_coding
chr1,1,1470166,1476004,-,ENSG00000205090,1_FANTOM,TMEM240,protein_coding
chr1,1,1477053,1510755,-,ENSG00000160075,1_FANTOM,SSU72,protein_coding
chr1,1,1477282,1477599,+,CATG00000048168,1_FANTOM,CATG00000048168.1,noncoding_lncRNA_noncoding_antisense
chr1,1,1479281,1479588,+,CATG00000049798,1_FANTOM,CATG00000049798.1,noncoding_lncRNA_noncoding_antisense
chr1,1,1497726,1500238,-,ENSG00000215791,1_FANTOM,AL645728.2,noncoding_pseudogene
chr1,1,1510355,1511373,+,ENSG00000215014,1_FANTOM,AL645728.1,protein_coding
chr1,1,1515136,1515379,+,ENSG00000236684,2_ensembl,AL645728.3,noncoding_pseudogene
chr1,1,1533392,1535515,-,ENSG00000228594,1_FANTOM,C1orf233,protein_coding
chr1,1,1542005,1542641,-,CATG00000043510,1_FANTOM,CATG00000043510.1,noncoding_lncRNA_intergenic
chr1,1,1543826,1565805,-,CATG00000043521,1_FANTOM,CATG00000043521.1,protein_coding
chr1,1,1548969,1551551,-,ENSG00000272106,1_FANTOM,RP11-345P4.9,noncoding_lncRNA_divergent
chr1,1,1550896,1566248,+,ENSG00000197530,1_FANTOM,MIB2,protein_coding
chr1,1,1565868,1567395,-,CATG00000043581,1_FANTOM,CATG00000043581.1,noncoding_lncRNA_divergent
chr1,1,1566457,1633236,+,ENSG00000189409,1_FANTOM,MMP23B,protein_coding
chr1,1,1570603,1655970,-,ENSG00000008128,1_FANTOM,CDK11A,protein_coding
chr1,1,1570607,1647917,-,ENSG00000248333,1_FANTOM,CDK11B,protein_coding
chr1,1,1588926,1624439,-,ENSG00000189339,1_FANTOM,SLC35E2B,protein_coding
chr1,1,1590488,1594063,+,ENSG00000272004,1_FANTOM,RP11-345P4.10,noncoding_lncRNA_divergent
chr1,1,1592908,1677509,-,ENSG00000268575,1_FANTOM,RP1-283E3.8,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,1603429,1604850,+,ENSG00000269737,2_ensembl,RP11-345P4.7,noncoding_antisense
chr1,1,1604714,1605836,+,ENSG00000269227,2_ensembl,RP11-345P4.6,noncoding_pseudogene
chr1,1,1630324,1713218,-,ENSG00000008130,1_FANTOM,NADK,protein_coding
chr1,1,1631369,1633249,+,ENSG00000215914,2_ensembl,MMP23A,noncoding_pseudogene
chr1,1,1655905,1669764,+,ENSG00000227775,1_FANTOM,RP1-283E3.4,noncoding_pseudogene
chr1,1,1656277,1677710,-,ENSG00000215790,1_FANTOM,SLC35E2,protein_coding
chr1,1,1671788,1672675,-,CATG00000043609,1_FANTOM,CATG00000043609.1,noncoding_lncRNA_noncoding_sense_intronic
chr1,1,1712085,1712316,+,CATG00000057235,1_FANTOM,CATG00000057235.1,noncoding_lncRNA_divergent
chr1,1,1716215,1824029,-,ENSG00000078369,1_FANTOM,GNB1,protein_coding
chr1,1,1816534,1818785,-,CATG00000043619,1_FANTOM,CATG00000043619.1,noncoding_sense_overlap_RNA
chr1,1,1822629,1828577,+,ENSG00000231050,1_FANTOM,RP1-140A9.1,noncoding_lncRNA_divergent
chr1,1,1835918,1840524,-,CATG00000043630,1_FANTOM,CATG00000043630.1,noncoding_lncRNA_divergent
chr1,1,1840756,1848735,+,ENSG00000169885,1_FANTOM,CALML6,protein_coding
chr1,1,1849027,1850718,-,ENSG00000178821,1_FANTOM,TMEM52,protein_coding
