EnhID,Enh.chr,Enh.start,Enh.end,Int.start,Int_end,gene symbol,Interaction,Pvalue,
7,1,30000,35000,65000,70000,OR4F5,1,0.011206,
10,1,45000,50000,10000,15000,DDX11L1,1,0.001564,
10,1,45000,50000,60000,65000,OR4G11P,1,0.000034,
11,1,50000,55000,70000,75000,OR4F5,1,0.000505,
11,1,50000,55000,90000,95000,LINC00115,1,0.019931,
11,1,50000,55000,90000,95000,RP11-206L10.10,1,0.019931,
11,1,50000,55000,90000,95000,RP11-34P13.8,1,0.019931,
11,1,50000,55000,100000,105000,,1,0.039937,
12,1,55000,60000,10000,15000,DDX11L1,1,0.004079,
14,1,65000,70000,30000,35000,MIR1302-10,1,0.011206,
14,1,65000,70000,30000,35000,WASH7P,1,0.011206,
14,1,65000,70000,90000,95000,LINC00115,1,0.002153,
14,1,65000,70000,90000,95000,RP11-206L10.10,1,0.002153,
14,1,65000,70000,90000,95000,RP11-34P13.8,1,0.002153,
15,1,70000,75000,50000,55000,OR4G4P,1,0.000505,
15,1,70000,75000,85000,90000,,1,0.000037,
18,1,85000,90000,70000,75000,OR4F5,1,0.000037,
19,1,90000,95000,50000,55000,OR4G4P,1,0.019931,
19,1,90000,95000,65000,70000,OR4F5,1,0.002153,
19,1,90000,95000,135000,140000,AL627309.1,1,0.019892,
19,1,90000,95000,135000,140000,RP11-34P13.14,1,0.019892,
19,1,90000,95000,135000,140000,RP11-34P13.15,1,0.019892,
19,1,90000,95000,135000,140000,RP11-34P13.16,1,0.019892,
20,1,95000,100000,135000,140000,AL627309.1,1,0.012441,
20,1,95000,100000,135000,140000,RP11-34P13.14,1,0.012441,
20,1,95000,100000,135000,140000,RP11-34P13.15,1,0.012441,
20,1,95000,100000,135000,140000,RP11-34P13.16,1,0.012441,
21,1,100000,105000,50000,55000,OR4G4P,1,0.039937,
21,1,100000,105000,60000,65000,OR4G11P,1,0.013918,
21,1,100000,105000,130000,135000,CICP27,1,0.004866,
21,1,100000,105000,130000,135000,RP11-34P13.15,1,0.004866,
21,1,100000,105000,130000,135000,RP11-34P13.7,1,0.004866,
22,1,105000,110000,130000,135000,CICP27,1,0.001746,
22,1,105000,110000,130000,135000,RP11-34P13.15,1,0.001746,
22,1,105000,110000,130000,135000,RP11-34P13.7,1,0.001746,
24,1,115000,120000,130000,135000,CICP27,1,0.000051,
24,1,115000,120000,130000,135000,RP11-34P13.15,1,0.000051,
24,1,115000,120000,130000,135000,RP11-34P13.7,1,0.000051,
26,1,125000,130000,130000,135000,CICP27,1,0,
26,1,125000,130000,130000,135000,RP11-34P13.15,1,0,
26,1,125000,130000,130000,135000,RP11-34P13.7,1,0,
26,1,125000,130000,160000,165000,RP11-34P13.9,1,0.008365,
27,1,130000,135000,100000,105000,,1,0.004866,
27,1,130000,135000,105000,110000,,1,0.001746,
